Consumption (kWh), Start, End
0.07100000000000000000, 2024-01-01T00:00:00+00:00, 2024-01-01T00:30:00+00:00
0.07600000000000000000, 2024-01-01T00:30:00+00:00, 2024-01-01T01:00:00+00:00
0.06700000000000000000, 2024-01-01T01:00:00+00:00, 2024-01-01T01:30:00+00:00
0.07800000000000000000, 2024-01-01T01:30:00+00:00, 2024-01-01T02:00:00+00:00
0.06100000000000000000, 2024-01-01T02:00:00+00:00, 2024-01-01T02:30:00+00:00
0.08800000000000000000, 2024-01-01T02:30:00+00:00, 2024-01-01T03:00:00+00:00
0.06300000000000000000, 2024-01-01T03:00:00+00:00, 2024-01-01T03:30:00+00:00
0.07800000000000000000, 2024-01-01T03:30:00+00:00, 2024-01-01T04:00:00+00:00
0.06700000000000000000, 2024-01-01T04:00:00+00:00, 2024-01-01T04:30:00+00:00
0.07900000000000000000, 2024-01-01T04:30:00+00:00, 2024-01-01T05:00:00+00:00
0.07100000000000000000, 2024-01-01T05:00:00+00:00, 2024-01-01T05:30:00+00:00
0.06900000000000000000, 2024-01-01T05:30:00+00:00, 2024-01-01T06:00:00+00:00
0.08000000000000000000, 2024-01-01T06:00:00+00:00, 2024-01-01T06:30:00+00:00
0.06300000000000000000, 2024-01-01T06:30:00+00:00, 2024-01-01T07:00:00+00:00
0.08800000000000000000, 2024-01-01T07:00:00+00:00, 2024-01-01T07:30:00+00:00
0.05800000000000000000, 2024-01-01T07:30:00+00:00, 2024-01-01T08:00:00+00:00
0.08900000000000000000, 2024-01-01T08:00:00+00:00, 2024-01-01T08:30:00+00:00
0.05400000000000000000, 2024-01-01T08:30:00+00:00, 2024-01-01T09:00:00+00:00
0.09100000000000000000, 2024-01-01T09:00:00+00:00, 2024-01-01T09:30:00+00:00
0.05900000000000000000, 2024-01-01T09:30:00+00:00, 2024-01-01T10:00:00+00:00
0.08400000000000000000, 2024-01-01T10:00:00+00:00, 2024-01-01T10:30:00+00:00
0.06900000000000000000, 2024-01-01T10:30:00+00:00, 2024-01-01T11:00:00+00:00
0.07100000000000000000, 2024-01-01T11:00:00+00:00, 2024-01-01T11:30:00+00:00
0.07700000000000000000, 2024-01-01T11:30:00+00:00, 2024-01-01T12:00:00+00:00
0.05100000000000000000, 2024-01-01T12:00:00+00:00, 2024-01-01T12:30:00+00:00
0.09800000000000000000, 2024-01-01T12:30:00+00:00, 2024-01-01T13:00:00+00:00
0.04700000000000000000, 2024-01-01T13:00:00+00:00, 2024-01-01T13:30:00+00:00
0.09000000000000000000, 2024-01-01T13:30:00+00:00, 2024-01-01T14:00:00+00:00
0.06100000000000000000, 2024-01-01T14:00:00+00:00, 2024-01-01T14:30:00+00:00
0.07700000000000000000, 2024-01-01T14:30:00+00:00, 2024-01-01T15:00:00+00:00
0.07300000000000000000, 2024-01-01T15:00:00+00:00, 2024-01-01T15:30:00+00:00
0.05500000000000000000, 2024-01-01T15:30:00+00:00, 2024-01-01T16:00:00+00:00
0.09300000000000000000, 2024-01-01T16:00:00+00:00, 2024-01-01T16:30:00+00:00
0.05000000000000000000, 2024-01-01T16:30:00+00:00, 2024-01-01T17:00:00+00:00
0.08800000000000000000, 2024-01-01T17:00:00+00:00, 2024-01-01T17:30:00+00:00
0.06100000000000000000, 2024-01-01T17:30:00+00:00, 2024-01-01T18:00:00+00:00
0.06900000000000000000, 2024-01-01T18:00:00+00:00, 2024-01-01T18:30:00+00:00
0.07600000000000000000, 2024-01-01T18:30:00+00:00, 2024-01-01T19:00:00+00:00
0.05800000000000000000, 2024-01-01T19:00:00+00:00, 2024-01-01T19:30:00+00:00
0.08300000000000000000, 2024-01-01T19:30:00+00:00, 2024-01-01T20:00:00+00:00
0.05700000000000000000, 2024-01-01T20:00:00+00:00, 2024-01-01T20:30:00+00:00
0.06600000000000000000, 2024-01-01T20:30:00+00:00, 2024-01-01T21:00:00+00:00
0.07200000000000000000, 2024-01-01T21:00:00+00:00, 2024-01-01T21:30:00+00:00
0.06100000000000000000, 2024-01-01T21:30:00+00:00, 2024-01-01T22:00:00+00:00
0.08100000000000000000, 2024-01-01T22:00:00+00:00, 2024-01-01T22:30:00+00:00
0.06600000000000000000, 2024-01-01T22:30:00+00:00, 2024-01-01T23:00:00+00:00
0.05600000000000000000, 2024-01-01T23:00:00+00:00, 2024-01-01T23:30:00+00:00
0.08000000000000000000, 2024-01-01T23:30:00+00:00, 2024-01-02T00:00:00+00:00
0.05300000000000000000, 2024-01-02T00:00:00+00:00, 2024-01-02T00:30:00+00:00
0.07700000000000000000, 2024-01-02T00:30:00+00:00, 2024-01-02T01:00:00+00:00
0.06900000000000000000, 2024-01-02T01:00:00+00:00, 2024-01-02T01:30:00+00:00
0.04500000000000000000, 2024-01-02T01:30:00+00:00, 2024-01-02T02:00:00+00:00
0.09900000000000000000, 2024-01-02T02:00:00+00:00, 2024-01-02T02:30:00+00:00
0.04800000000000000000, 2024-01-02T02:30:00+00:00, 2024-01-02T03:00:00+00:00
0.06600000000000000000, 2024-01-02T03:00:00+00:00, 2024-01-02T03:30:00+00:00
0.07800000000000000000, 2024-01-02T03:30:00+00:00, 2024-01-02T04:00:00+00:00
0.04900000000000000000, 2024-01-02T04:00:00+00:00, 2024-01-02T04:30:00+00:00
0.08300000000000000000, 2024-01-02T04:30:00+00:00, 2024-01-02T05:00:00+00:00
0.05800000000000000000, 2024-01-02T05:00:00+00:00, 2024-01-02T05:30:00+00:00
0.06100000000000000000, 2024-01-02T05:30:00+00:00, 2024-01-02T06:00:00+00:00
0.07900000000000000000, 2024-01-02T06:00:00+00:00, 2024-01-02T06:30:00+00:00
0.06100000000000000000, 2024-01-02T06:30:00+00:00, 2024-01-02T07:00:00+00:00
0.05600000000000000000, 2024-01-02T07:00:00+00:00, 2024-01-02T07:30:00+00:00
0.07700000000000000000, 2024-01-02T07:30:00+00:00, 2024-01-02T08:00:00+00:00
0.05300000000000000000, 2024-01-02T08:00:00+00:00, 2024-01-02T08:30:00+00:00
